6211HA,"MULTIPOLYGON(((176423.910925 317595.674438, 176452.9585 317610.4215, 176493.75745 317600.6491, 176475.0505 317555.5972, 176423.910925 317595.674438)), ((176423.910925 317595.674438, 176387.0399 317548.6314, 176350.0312 317549.416, 176339.1078 317565.1033, 176356.89925 317594.6025, 176334.869 317621.4127, 176342.0074 317630.685, 176423.910925 317595.674438)))"
6211HB,"POLYGON((176342.0074 317630.685, 176313.9567 317618.7528, 176279.0925 317660.3809, 176342.0074 317630.685))"
6211HC,"POLYGON((176338.1775 317666.2169, 176356.1889 317642.0326, 176390.1388 317643.6127, 176408.1232 317612.7391, 176452.9585 317610.4215, 176423.910925 317595.674438, 176264.13455 317664.44195, 176289.0598 317680.6937, 176338.1775 317666.2169))"
6211HD,"MULTIPOLYGON(((176596.15145 317518.83775, 176608.25845 317516.7448, 176603.84924 317502.4546, 176596.15145 317518.83775)), ((176596.15145 317518.83775, 176528.6988 317529.335, 176512.5181 317612.6558, 176535.4011 317635.1934, 176545.87495 317607.7428, 176587.8685 317576.7491, 176596.15145 317518.83775)))"
6211HE,"MULTIPOLYGON(((176595.2309 317506.3684, 176576.2593 317519.4233, 176596.15145 317518.83775, 176595.2309 317506.3684)), ((176516.4824 317590.9406, 176528.6988 317529.335, 176559.6407 317521.067, 176544.8059 317489.9276, 176479.5407 317535.3987, 176499.5568 317618.8452, 176516.4824 317590.9406)))"
6211HG,"POLYGON((176640.9937 317543.2288, 176663.168975 317529.91355, 176637.0225 317497.5603, 176596.15145 317518.83775, 176594.2419 317554.6353, 176640.9937 317543.2288))"
6211HH,"POLYGON((176663.852725 317477.52435, 176663.0673 317443.7313, 176737.1012 317415.41265, 176748.3787 317391.5088, 176720.3938 317345.56685, 176640.031 317337.836, 176653.10585 317379.7941, 176633.3277 317480.1271, 176663.852725 317477.52435))"
6211HJ,"POLYGON((176593.905067 317300.540133, 176627.4595 317336.0756, 176655.3894 317337.8765, 176643.7211 317305.402, 176611.62295 317290.3819, 176593.905067 317300.540133))"
6211HK,"POLYGON((176637.0225 317497.5603, 176653.10585 317379.7941, 176638.4705 317353.0248, 176619.2876 317455.2506, 176619.731 317500.3575, 176637.0225 317497.5603))"
6211HL,"MULTIPOLYGON(((176599.3542 317306.5428, 176586.231 317305.139, 176564.1339 317369.6567, 176632.5984 317379.8505, 176640.031 317337.836, 176599.3542 317306.5428)), ((176608.25845 317516.7448, 176620.1287 317515.5959, 176622.703549 317421.047053, 176593.03065 317439.45325, 176608.25845 317516.7448)))"
6211HM,"POLYGON((176622.703549 317421.047053, 176632.5984 317379.8505, 176564.1339 317369.6567, 176534.4796 317398.7019, 176552.5031 317424.7391, 176578.128 317423.1371, 176593.03065 317439.45325, 176622.703549 317421.047053))"
6211HN,"POLYGON((176593.03065 317439.45325, 176565.8821 317420.8447, 176521.5479 317431.40015, 176542.2552 317462.5468, 176548.48825 317444.382475, 176593.03065 317439.45325))"
6211HP,"POLYGON((176522.1697 317444.8899, 176521.5479 317431.40015, 176480.9876 317416.7893, 176491.23025 317466.5433, 176522.1697 317444.8899))"
6211HR,"POLYGON((176544.8059 317489.9276, 176527.1916 317445.5616, 176491.23025 317466.5433, 176520.5751 317511.12, 176544.8059 317489.9276))"
